"Gene_Symbol","Importance_Score"
"PDK1",0.0619216374269006
"NOTCH4",0.0604470157293687
"YIPF1",0.0596785714285714
"NDUFB5",0.0524190476190476
"PIWIL1",0.0484285714285714
"PHTF1",0.0465428571428571
"RARRES2",0.0436190476190476
"BTK",0.0416190476190476
"C1orf49",0.0413968253968254
"CHODL",0.0410119047619048
"YME1L1",0.0406404761904762
"GLT25D1",0.0398846447669977
"ATP9A",0.0398761904761905
"ZNF7",0.0398730158730159
"PRKCA",0.0391176470588235
"BTBD12",0.0387116883116883
"KLHDC5",0.0386571428571428
"CYLC1",0.0385261904761905
"AMHR2",0.0384083285135917
"LEFTY2",0.0381818181818182
