Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Mitochondrial Protein Catabolic Process (GO:0035694)	2/9	3.405659800132413E-5	0.009331507852362812	0	0	317.031746031746	3261.459893047559	YME1L1;PRKCA
Regulation of Retrograde Transport, Endosome to Golgi (GO:1905279)	1/5	0.00499044069595166	0.07758236113250849	0	0	262.8421052631579	1393.123889480945	ATP9A
Positive Regulation of Mitochondrial Fusion (GO:0010636)	1/5	0.00499044069595166	0.07758236113250849	0	0	262.8421052631579	1393.123889480945	YME1L1
+ Reg of Adenylate Cyclase-Activating GPCR Sgnlng Pway (GO:0106071)	1/5	0.00499044069595166	0.07758236113250849	0	0	262.8421052631579	1393.123889480945	PRKCA
Positive Regulation of Transcription of Notch Receptor Target (GO:0007221)	1/5	0.00499044069595166	0.07758236113250849	0	0	262.8421052631579	1393.123889480945	NOTCH4
Protein Catabolic Process (GO:0030163)	2/107	0.005059198395450951	0.07758236113250849	0	0	21.03174603174603	111.18531868631155	YME1L1;PRKCA
Regulation of Glial Cell Apoptotic Process (GO:0034350)	1/6	0.0059856908667451705	0.07758236113250849	0	0	210.26315789473685	1076.2074808846232	PRKCA
Regulation of Lymphocyte Apoptotic Process (GO:0070228)	1/6	0.0059856908667451705	0.07758236113250849	0	0	210.26315789473685	1076.2074808846232	BTK
Desmosome Assembly (GO:0002159)	1/6	0.0059856908667451705	0.07758236113250849	0	0	210.26315789473685	1076.2074808846232	PRKCA
Regulation of Cell Adhesion Molecule Production (GO:0060353)	1/6	0.0059856908667451705	0.07758236113250849	0	0	210.26315789473685	1076.2074808846232	NOTCH4
Negative Regulation of Glial Cell Apoptotic Process (GO:0034351)	1/7	0.006979995894180786	0.07758236113250849	0	0	175.21052631578948	869.8689177892479	PRKCA
Positive Regulation of Lipopolysaccharide-Mediated Signaling Pathway (GO:0031666)	1/7	0.006979995894180786	0.07758236113250849	0	0	175.21052631578948	869.8689177892479	PRKCA
Mitotic Nuclear Membrane Disassembly (GO:0007077)	1/7	0.006979995894180786	0.07758236113250849	0	0	175.21052631578948	869.8689177892479	PRKCA
Positive Regulation of Smooth Muscle Cell Differentiation (GO:0051152)	1/7	0.006979995894180786	0.07758236113250849	0	0	175.21052631578948	869.8689177892479	NOTCH4
Mitochondrion Organization (GO:0007005)	2/135	0.007935347767587751	0.07758236113250849	0	0	16.58061821219716	80.19096781895072	YME1L1;PRKCA
Protein Hexamerization (GO:0034214)	1/8	0.0079733565142536	0.07758236113250849	0	0	150.17293233082708	725.5830081396662	YME1L1
Regulation of Endothelial Cell Differentiation (GO:0045601)	1/8	0.0079733565142536	0.07758236113250849	0	0	150.17293233082708	725.5830081396662	NOTCH4
Regulation of Stem Cell Division (GO:2000035)	1/8	0.0079733565142536	0.07758236113250849	0	0	150.17293233082708	725.5830081396662	YME1L1
Cellular Response to Epinephrine Stimulus (GO:0071872)	1/8	0.0079733565142536	0.07758236113250849	0	0	150.17293233082708	725.5830081396662	PRKCA
Vascular Endothelial Cell Response to Laminar Fluid Shear Stress (GO:0097700)	1/8	0.0079733565142536	0.07758236113250849	0	0	150.17293233082708	725.5830081396662	PRKCA
Regulation of B Cell Apoptotic Process (GO:0002902)	1/9	0.008965773496317424	0.07758236113250849	0	0	131.39473684210526	619.439581424405	BTK
High-Density Lipoprotein Particle Assembly (GO:0034380)	1/9	0.008965773496317424	0.07758236113250849	0	0	131.39473684210526	619.439581424405	PRKCA
Mitochondrial Protein Processing (GO:0034982)	1/10	0.009957247624386196	0.07758236113250849	0	0	116.78947368421052	538.3357753631753	YME1L1
Desmosome Organization (GO:0002934)	1/10	0.009957247624386196	0.07758236113250849	0	0	116.78947368421052	538.3357753631753	PRKCA
Nuclear Membrane Disassembly (GO:0051081)	1/10	0.009957247624386196	0.07758236113250849	0	0	116.78947368421052	538.3357753631753	PRKCA
Negative Regulation of Cell-Cell Adhesion Mediated by Cadherin (GO:2000048)	1/10	0.009957247624386196	0.07758236113250849	0	0	116.78947368421052	538.3357753631753	NOTCH4
Negative Regulation of Exocytosis (GO:0045920)	1/11	0.010947779702855981	0.07758236113250849	0	0	105.10526315789474	474.5101770765117	ATP9A
Regulation of Smooth Muscle Cell Differentiation (GO:0051150)	1/11	0.010947779702855981	0.07758236113250849	0	0	105.10526315789474	474.5101770765117	NOTCH4
Positive Regulation of Macrophage Differentiation (GO:0045651)	1/11	0.010947779702855981	0.07758236113250849	0	0	105.10526315789474	474.5101770765117	PRKCA
