Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
FC EPSILON RI SIGNALING PATHWAY	2/68	0.002080209719608933	0.19511955934177125	0	0	33.525252525252526	207.02804146104273	BTK;PRKCA
TGF-BETA SIGNALING PATHWAY	2/109	0.005244730259552087	0.19511955934177125	0	0	20.636552440290757	108.3528679492363	AMHR2;LEFTY2
THYROID HORMONE SIGNALING PATHWAY	2/119	0.00621880080268648	0.19511955934177125	0	0	18.863247863247864	95.82866034621067	NOTCH4;PRKCA
PLATELET ACTIVATION	2/125	0.006839946711176973	0.19511955934177125	0	0	17.937669376693766	89.41883946655669	BTK;PRKCA
RETROGRADE ENDOCANNABINOID SIGNALING	2/146	0.009225638785018782	0.19511955934177125	0	0	15.305555555555555	71.71829540005209	NDUFB5;PRKCA
MICRORNAS IN CANCER	2/160	0.010994232593906693	0.19511955934177125	0	0	13.939521800281295	62.872602414801236	NOTCH4;PRKCA
DIABETIC CARDIOMYOPATHY	2/203	0.017272913788451638	0.19511955934177125	0	0	10.933665008291873	44.37554425782287	NDUFB5;PRKCA
HORMONE SIGNALING	2/218	0.019749523982873128	0.19511955934177125	0	0	10.166666666666666	39.900363215594474	AMHR2;PRKCA
THERMOGENESIS	2/229	0.021655517344207557	0.19511955934177125	0	0	9.668624571708271	37.05495546632596	NDUFB5;PRKCA
PARKINSON DISEASE	2/263	0.028007783157037284	0.19511955934177125	0	0	8.39463601532567	30.01311412662232	NDUFB5;PRKCA
PRION DISEASE	2/268	0.028998675207872786	0.19511955934177125	0	0	8.234753550543024	29.155187210786625	NDUFB5;PRKCA
ALDOSTERONE-REGULATED SODIUM REABSORPTION	1/37	0.03637365932928062	0.19511955934177125	0	0	29.157894736842106	96.62665093408293	PRKCA
AFRICAN TRYPANOSOMIASIS	1/37	0.03637365932928062	0.19511955934177125	0	0	29.157894736842106	96.62665093408293	PRKCA
PRIMARY IMMUNODEFICIENCY	1/38	0.03733906887382628	0.19511955934177125	0	0	28.36842105263158	93.26728562261795	BTK
HUMAN PAPILLOMAVIRUS INFECTION	2/328	0.04194695458957521	0.19511955934177125	0	0	6.6987048398091344	21.243933875279083	NOTCH4;PRKCA
VASOPRESSIN-REGULATED WATER REABSORPTION	1/43	0.042152350529806835	0.19511955934177125	0	0	24.984962406015036	79.11400474395023	PRKCA
COCAINE ADDICTION	1/48	0.046942764384003306	0.19511955934177125	0	0	22.32138857782755	68.27724816722397	PRKCA
VIBRIO CHOLERAE INFECTION	1/49	0.04789811206941787	0.19511955934177125	0	0	21.855263157894736	66.41113333547993	PRKCA
ENDOCRINE AND OTHER FACTOR-REGULATED CALCIUM REABSORPTION	1/50	0.04885254998202776	0.19511955934177125	0	0	21.408163265306122	64.63014669364038	PRKCA
OVARIAN STEROIDOGENESIS	1/51	0.04980607892472869	0.19511955934177125	0	0	20.978947368421053	62.92883309083605	PRKCA
HEDGEHOG SIGNALING PATHWAY	1/56	0.05456011794991924	0.19511955934177125	0	0	19.066985645933013	55.45541451142644	PRKCA
REGULATION OF LIPOLYSIS IN ADIPOCYTES	1/58	0.05645539946213541	0.19511955934177125	0	0	18.39612188365651	52.87605301742885	PRKCA
VEGF SIGNALING PATHWAY	1/59	0.05740168618341881	0.19511955934177125	0	0	18.078039927404717	51.661282065881295	PRKCA
LONG-TERM DEPRESSION	1/59	0.05740168618341881	0.19511955934177125	0	0	18.078039927404717	51.661282065881295	PRKCA
LONGEVITY REGULATING PATHWAY - MULTIPLE SPECIES	1/60	0.058347071283324045	0.19511955934177125	0	0	17.770740410347905	50.492824203227855	PRKCA
NOTCH SIGNALING PATHWAY	1/62	0.06023513991903656	0.19511955934177125	0	0	17.186367558239862	48.28508895429952	NOTCH4
CORTISOL SYNTHESIS AND SECRETION	1/63	0.0611778250716139	0.19511955934177125	0	0	16.908319185059423	47.24134484792992	PRKCA
GNRH SECRETION	1/64	0.062119611868771706	0.19511955934177125	0	0	16.639097744360903	46.23495322747936	PRKCA
LONG-TERM POTENTIATION	1/65	0.06306050110792741	0.19511955934177125	0	0	16.37828947368421	45.26403459739593	PRKCA
AMPHETAMINE ADDICTION	1/67	0.06493959018370567	0.19511955934177125	0	0	15.880382775119617	43.421696050712754	PRKCA
RENIN SECRETION	1/69	0.06681509876037244	0.19511955934177125	0	0	15.411764705882353	41.70155664670343	PRKCA
NON-SMALL CELL LUNG CANCER	1/71	0.06868703331046773	0.19511955934177125	0	0	14.969924812030076	40.09237540517205	PRKCA
THYROID HORMONE SYNTHESIS	1/71	0.06868703331046773	0.19511955934177125	0	0	14.969924812030076	40.09237540517205	PRKCA
GASTRIC ACID SECRETION	1/73	0.07055540028716217	0.19511955934177125	0	0	14.552631578947368	38.5842224505161	PRKCA
GLIOMA	1/75	0.0724202061022377	0.19511955934177125	0	0	14.157894736842104	37.16829530659873	PRKCA
INSULIN SECRETION	1/81	0.07799332097798367	0.19511955934177125	0	0	13.092105263157896	33.39968978978988	PRKCA
B CELL RECEPTOR SIGNALING PATHWAY	1/82	0.07891907522821222	0.19511955934177125	0	0	12.929824561403509	32.8331213455501	BTK
PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES	2/469	0.07898535156391788	0.19511955934177125	0	0	4.64263621222936	11.78529890858649	NDUFB5;PRKCA
ERBB SIGNALING PATHWAY	1/83	0.07984394641037199	0.19511955934177125	0	0	12.771501925545572	32.28228555834262	PRKCA
GAP JUNCTION	1/85	0.08169104272827638	0.19511955934177125	0	0	12.466165413533835	31.225387249064404	PRKCA
