Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Response to Elevated Platelet Cytosolic Ca2+	3/133	3.0168987195768607E-4	0.044951790921695226	0	0	26.945701357466064	218.42484569883885	RARRES2;PRKCA;LEFTY2
Platelet Activation, Signaling and Aggregation	3/262	0.002148216753327206	0.10263143965901397	0	0	13.436974789915967	82.54491092178196	RARRES2;PRKCA;LEFTY2
Mitochondrial Protein Degradation	2/97	0.004178606166116967	0.10263143965901397	0	0	23.257309941520468	127.39837006488538	YME1L1;PDK1
Defective LFNG Causes SCDO3	1/5	0.00499044069595166	0.10263143965901397	0	0	262.8421052631579	1393.123889480945	NOTCH4
Disinhibition of SNARE Formation	1/5	0.00499044069595166	0.10263143965901397	0	0	262.8421052631579	1393.123889480945	PRKCA
Pre-NOTCH Processing in the Endoplasmic Reticulum	1/6	0.0059856908667451705	0.10263143965901397	0	0	210.26315789473685	1076.2074808846232	NOTCH4
Platelet Degranulation	2/128	0.007160717123418115	0.10263143965901397	0	0	17.50793650793651	86.47423962180392	RARRES2;LEFTY2
Cellular Response to Mitochondrial Stress	1/9	0.008965773496317424	0.10263143965901397	0	0	131.39473684210526	619.439581424405	YME1L1
ROBO Receptors Bind AKAP5	1/9	0.008965773496317424	0.10263143965901397	0	0	131.39473684210526	619.439581424405	PRKCA
EGFR Transactivation by Gastrin	1/9	0.008965773496317424	0.10263143965901397	0	0	131.39473684210526	619.439581424405	PRKCA
HuR (ELAVL1) Binds and Stabilizes mRNA	1/10	0.009957247624386196	0.10263143965901397	0	0	116.78947368421052	538.3357753631753	PRKCA
Acetylcholine Regulates Insulin Secretion	1/10	0.009957247624386196	0.10263143965901397	0	0	116.78947368421052	538.3357753631753	PRKCA
NOTCH4 Activation and Transmission of Signal to the Nucleus	1/11	0.010947779702855981	0.10263143965901397	0	0	105.10526315789474	474.5101770765117	NOTCH4
Regulation of Signaling by NODAL	1/12	0.011937370540334344	0.10263143965901397	0	0	95.54545454545455	423.0830518492731	LEFTY2
WNT5A-dependent Internalization of FZD4	1/15	0.014900503788898576	0.10263143965901397	0	0	75.06015037593986	315.7300332957057	PRKCA
Depolymerization of the Nuclear Lamina	1/15	0.014900503788898576	0.10263143965901397	0	0	75.06015037593986	315.7300332957057	PRKCA
Regulation of Pyruvate Dehydrogenase (PDH) Complex	1/15	0.014900503788898576	0.10263143965901397	0	0	75.06015037593986	315.7300332957057	PDK1
Processing of SMDT1	1/16	0.015886337864689626	0.10263143965901397	0	0	70.05263157894737	290.1787210723924	YME1L1
Regulation of KIT Signaling	1/16	0.015886337864689626	0.10263143965901397	0	0	70.05263157894737	290.1787210723924	PRKCA
Trafficking of GluR2-containing AMPA Receptors	1/17	0.016871234817272356	0.10263143965901397	0	0	65.67105263157895	268.0787715603985	PRKCA
Pre-NOTCH Processing in Golgi	1/18	0.017855195476470426	0.10263143965901397	0	0	61.804953560371516	248.79341471282055	NOTCH4
G Beta Gamma Signalling Through BTK	1/18	0.017855195476470426	0.10263143965901397	0	0	61.804953560371516	248.79341471282055	BTK
Gastrin-CREB Signalling Pathway via PKC and MAPK	1/18	0.017855195476470426	0.10263143965901397	0	0	61.804953560371516	248.79341471282055	PRKCA
MyD88 Deficiency (TLR2 4)	1/19	0.018838220672014273	0.10263143965901397	0	0	58.36842105263158	231.83163218032678	BTK
VEGFR2 Mediated Cell Proliferation	1/19	0.018838220672014273	0.10263143965901397	0	0	58.36842105263158	231.83163218032678	PRKCA
IRAK4 Deficiency (TLR2 4)	1/20	0.019820311238232097	0.10263143965901397	0	0	55.29362880886426	216.80897525048422	BTK
NOTCH4 Intracellular Domain Regulates Transcription	1/20	0.019820311238232097	0.10263143965901397	0	0	55.29362880886426	216.80897525048422	NOTCH4
G Alpha (Q) Signalling Events	2/219	0.019919690216364694	0.10263143965901397	0	0	10.119303635432667	39.62766437665813	BTK;PRKCA
SHC1 Events in ERBB2 Signaling	1/22	0.02178169181492411	0.10263143965901397	0	0	50.02255639097744	191.42059056605152	PRKCA
Signaling by NODAL	1/23	0.02276098349039011	0.10263143965901397	0	0	47.74641148325359	180.61070687273846	LEFTY2
Mitochondrial Calcium Ion Transport	1/23	0.02276098349039011	0.10263143965901397	0	0	47.74641148325359	180.61070687273846	YME1L1
RHO GTPases Activate NADPH Oxidases	1/24	0.023739343866497245	0.10263143965901397	0	0	45.66819221967963	170.827422984315	PRKCA
Syndecan Interactions	1/27	0.02666884553614584	0.10263143965901397	0	0	40.392712550607285	146.39366123411943	PRKCA
Aerobic Respiration and Respiratory Electron Transport	2/260	0.027420078667420723	0.10263143965901397	0	0	8.493540051679586	30.546844681686935	NDUFB5;PDK1
Notch-HLH Transcription Pathway	1/28	0.02764348904824574	0.10263143965901397	0	0	38.89473684210526	139.56851455439977	NOTCH4
DAP12 Signaling	1/29	0.028617205427454835	0.10263143965901397	0	0	37.50375939849624	133.2788782141628	BTK
PIWI-interacting RNA (piRNA) Biogenesis	1/29	0.028617205427454835	0.10263143965901397	0	0	37.50375939849624	133.2788782141628	PIWIL1
Trafficking of AMPA Receptors	1/31	0.030561860107418466	0.10263143965901397	0	0	35.0	122.08008572013848	PRKCA
Signaling by BMP	1/31	0.030561860107418466	0.10263143965901397	0	0	35.0	122.08008572013848	AMHR2
Glutamate Binding, Activation of AMPA Receptors and Synaptic Plasticity	1/31	0.030561860107418466	0.10263143965901397	0	0	35.0	122.08008572013848	PRKCA
G-protein Beta Gamma Signalling	1/32	0.03153280007583892	0.10263143965901397	0	0	33.869269949066215	117.07681999296598	BTK
Hemostasis	3/707	0.03203687234855528	0.10263143965901397	0	0	4.831885026737968	16.625877498562534	RARRES2;PRKCA;LEFTY2
Inactivation, Recovery and Regulation of the Phototransduction Cascade	1/33	0.03250281622696285	0.10263143965901397	0	0	32.80921052631579	112.41841533087528	PRKCA
Regulation of Pyruvate Metabolism	1/33	0.03250281622696285	0.10263143965901397	0	0	32.80921052631579	112.41841533087528	PDK1
The Phototransduction Cascade	1/34	0.033471909401101146	0.10263143965901397	0	0	31.8133971291866	108.07165990908112	PRKCA
RHO GTPase Effectors	2/291	0.033736074513574514	0.10263143965901397	0	0	7.570549788542868	25.658013118862407	BTK;PRKCA
Diseases Associated With the TLR Signaling Cascade	1/35	0.03444008042248791	0.10263143965901397	0	0	30.876160990712073	104.00740624656505	BTK
Diseases of Immune System	1/35	0.03444008042248791	0.10263143965901397	0	0	30.876160990712073	104.00740624656505	BTK
CaM Pathway	1/35	0.03444008042248791	0.10263143965901397	0	0	30.876160990712073	104.00740624656505	PRKCA
Calmodulin Induced Events	1/35	0.03444008042248791	0.10263143965901397	0	0	30.876160990712073	104.00740624656505	PRKCA
RHO GTPases Activate WASPs and WAVEs	1/36	0.0354073301248565	0.10344494487458075	0	0	29.992481203007518	100.19997336732251	BTK
